X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-1.841256784,43.050554931,"33582292","40","21","21","58",4.20,4.40,88.20,104.80,"1",89.40,7.60,125.10,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
-2.852118557,47.522152192,"33582796",,,,,4.70,5.15,17.22,32.10,"0",29.60,3.40,123.30,E20,U420,FR,FRH,FRH0,FRH04,Grassland,Grassland without tree/shrub cover,Semi-natural and natural areas not in use
-2.892391283,47.681345635,"33582814",,,,,5.50,5.79,44.90,44.40,"0",61.60,4.40,146.50,E20,U111,FR,FRH,FRH0,FRH04,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-2.910392664,47.752087365,"33582822",,,,,5.00,5.31,25.40,33.40,"0",18.10,3.20,80.30,B11,U111,FR,FRH,FRH0,FRH04,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-5.159984064,54.967725156,"33583642",,,,,5.70,5.95,52.60,61.10,"0",112.70,4.50,168.20,B13,U111,UK,UKM,UKM9,UKM92,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-0.932490183,38.175552195,"33601746",,,,,7.80,7.97,119.30,13.00,"559",57.10,0.90,262.40,B76,U111,ES,ES5,ES52,ES521,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens)
-1.017880509,38.695497491,"33601804",,,,,7.60,8.13,18.31,20.80,"336",5.10,1.60,174.70,B81,U111,ES,ES4,ES42,ES421,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-1.276077725,40.199078043,"33601972","70","32","12","56",7.40,7.76,23.10,38.30,"55",5.70,3.70,557.60,C23,U420,ES,ES2,ES24,ES242,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
-1.295163567,40.306339384,"33601984","27","40","20","39",7.60,8.01,17.39,5.60,"669",6.10,1.10,284.00,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.317542415,40.431454899,"33601998","39","42","17","41",7.60,8.06,16.29,13.90,"419",14.60,1.80,305.90,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.333601637,40.520808195,"33602008","50","29","22","49",7.60,8.01,20.40,19.10,"524",29.60,2.00,239.80,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.346493862,40.592281901,"33602016","39","23","49","29",7.70,8.18,17.75,13.60,"401",16.80,0.90,258.60,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.375648037,40.753068808,"33602034",,,,,7.50,8.01,22.10,14.40,"396",51.60,1.90,470.90,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
